
> wordle-scratch-pad@0.0.0 noodle
> node index.js

prev: 94, now 94, 816
prev: 94, now 94, 817
prev: 94, now 94, 818
prev: 94, now 94, 819
prev: 94, now 94, 820
prev: 94, now 94, 821
prev: 94, now 94, 822
prev: 94, now 94, 823
prev: 94, now 94, 824
prev: 94, now 94, 825
prev: 94, now 94, 826
prev: 94, now 94, 827
prev: 94, now 94, 828
prev: 94, now 94, 829
prev: 94, now 94, 830
prev: 94, now 95, 831
prev: 95, now 95, 832
prev: 95, now 95, 833
prev: 95, now 95, 834
prev: 95, now 95, 835
prev: 95, now 95, 836
prev: 95, now 95, 837
prev: 95, now 95, 838
prev: 95, now 95, 839
prev: 95, now 95, 840
prev: 95, now 95, 841
prev: 95, now 95, 842
prev: 95, now 95, 843
prev: 95, now 95, 844
prev: 95, now 95, 845
prev: 95, now 95, 846
prev: 95, now 95, 847
prev: 95, now 95, 848
prev: 95, now 95, 849
prev: 95, now 95, 850
prev: 95, now 95, 851
prev: 95, now 95, 852
prev: 95, now 95, 853
prev: 95, now 95, 854
prev: 95, now 95, 855
prev: 95, now 95, 856
prev: 95, now 95, 857
prev: 95, now 95, 858
prev: 95, now 95, 859
prev: 95, now 95, 860
prev: 95, now 95, 861
prev: 95, now 95, 862
prev: 95, now 95, 863
prev: 95, now 95, 864
prev: 95, now 95, 865
prev: 95, now 96, 866
prev: 96, now 96, 867
prev: 96, now 96, 868
prev: 96, now 97, 869
prev: 97, now 98, 870
prev: 98, now 98, 871
prev: 98, now 98, 872
prev: 98, now 98, 873
prev: 98, now 98, 874
prev: 98, now 98, 875
prev: 98, now 98, 876
prev: 98, now 98, 877
prev: 98, now 98, 878
prev: 98, now 98, 879
prev: 98, now 98, 880
prev: 98, now 98, 881
prev: 98, now 98, 882
prev: 98, now 98, 883
prev: 98, now 98, 884
prev: 98, now 98, 885
prev: 98, now 98, 886
prev: 98, now 98, 887
prev: 98, now 98, 888
prev: 98, now 98, 889
prev: 98, now 98, 890
prev: 98, now 98, 891
prev: 98, now 98, 892
prev: 98, now 98, 893
prev: 98, now 98, 894
prev: 98, now 98, 895
prev: 98, now 98, 896
prev: 98, now 98, 897
prev: 98, now 98, 898
prev: 98, now 98, 899
prev: 98, now 98, 900
prev: 98, now 98, 901
prev: 98, now 98, 902
prev: 98, now 98, 903
prev: 98, now 98, 904
prev: 98, now 98, 905
prev: 98, now 98, 906
prev: 98, now 98, 907
prev: 98, now 98, 908
prev: 98, now 98, 909
prev: 98, now 98, 910
prev: 98, now 98, 911
prev: 98, now 98, 912
prev: 98, now 98, 913
prev: 98, now 98, 914
prev: 98, now 98, 915
prev: 98, now 98, 916
prev: 98, now 98, 917
prev: 98, now 98, 918
prev: 98, now 98, 919
prev: 98, now 98, 920
prev: 98, now 98, 921
prev: 98, now 98, 922
prev: 98, now 98, 923
prev: 98, now 98, 924
prev: 98, now 98, 925
prev: 98, now 98, 926
prev: 98, now 98, 927
prev: 98, now 98, 928
prev: 98, now 98, 929
prev: 98, now 99, 930
prev: 99, now 99, 931
prev: 99, now 99, 932
prev: 99, now 99, 933
prev: 99, now 99, 934
prev: 99, now 99, 935
prev: 99, now 99, 936
prev: 99, now 99, 937
prev: 99, now 99, 938
prev: 99, now 99, 939
prev: 99, now 99, 940
prev: 99, now 99, 941
prev: 99, now 99, 942
prev: 99, now 99, 943
prev: 99, now 99, 944
prev: 99, now 99, 945
prev: 99, now 100, 946
prev: 100, now 100, 947
prev: 100, now 100, 948
prev: 100, now 100, 949
prev: 100, now 100, 950
prev: 100, now 100, 951
prev: 100, now 100, 952
prev: 100, now 100, 953
prev: 100, now 100, 954
prev: 100, now 100, 955
prev: 100, now 101, 956
prev: 101, now 101, 957
prev: 101, now 101, 958
prev: 101, now 101, 959
prev: 101, now 101, 960
prev: 101, now 101, 961
prev: 101, now 101, 962
prev: 101, now 101, 963
prev: 101, now 101, 964
prev: 101, now 101, 965
prev: 101, now 101, 966
prev: 101, now 101, 967
prev: 101, now 101, 968
prev: 101, now 101, 969
prev: 101, now 101, 970
prev: 101, now 101, 971
prev: 101, now 101, 972
prev: 101, now 101, 973
prev: 101, now 101, 974
prev: 101, now 101, 975
prev: 101, now 101, 976
prev: 101, now 101, 977
prev: 101, now 101, 978
prev: 101, now 101, 979
prev: 101, now 101, 980
prev: 101, now 101, 981
prev: 101, now 101, 982
prev: 101, now 101, 983
prev: 101, now 101, 984
prev: 101, now 101, 985
prev: 101, now 101, 986
prev: 101, now 101, 987
prev: 101, now 101, 988
prev: 101, now 101, 989
prev: 101, now 101, 990
prev: 101, now 101, 991
prev: 101, now 101, 992
prev: 101, now 101, 993
prev: 101, now 101, 994
